Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ecuador,455.4623888,375.2213046,315.688704,368.6295837,440.5602342,455.1978183,449.920207,459.2787988,450.9995515,527.900353,471.6307972,440.8571574,495.5359182,588.3370651,970.012722,1105.420555,1264.911641,1493.333583,1572.400531,1821.04718,2238.217084,2660.612801,2369.950657,1988.787323,1912.431271,1891.562479,1648.01456,1464.492936,1337.889895,1390.213114,1489.529946,1622.208088,1688.504752,1727.755003,2026.113077,2132.906783,2155.51815,2356.369857,2293.889735,1578.934298,1445.279324,1894.616196,2172.101877,2425.851842,2691.277685,3002.138604,3328.884156,3567.837186,4249.01897,4231.619235,4633.591284,5200.555108,5682.046108,6056.331213,6377.093929,6124.490887,6060.092962,6213.503127,6295.934662,6222.524653,5600.389615
Guatemala,252.7561712,253.22729,261.1791338,280.0966364,279.9304645,278.8281385,283.1927246,287.9680471,310.6617452,322.4375294,349.0249756,355.0903711,367.1188811,438.5448512,527.4176968,594.6518036,696.2220153,854.6366434,925.1257445,1027.083696,1143.440402,1217.26402,1200.249234,1212.716559,1234.702641,1233.080944,892.2929065,850.2185121,915.3980653,955.1134609,845.3069621,1011.754966,1093.962908,1164.374025,1293.470198,1424.682543,1487.607658,1649.001602,1755.849582,1619.510736,1664.298958,1550.360366,1682.994501,1737.879287,1859.098363,2068.500129,2251.087963,2490.749127,2802.461962,2651.817123,2852.547327,3228.045741,3355.036919,3522.773706,3779.642336,3994.636913,4173.301666,4454.04815,4478.424646,4638.634943,4603.339617
Honduras,164.6443995,169.9097551,179.8763063,185.0488471,200.4347285,216.8153947,227.7409563,240.5468429,252.5849145,253.2687207,266.1364061,261.2463703,278.616076,307.3448001,338.1553292,356.457397,414.6231405,497.9382908,895.6479864,993.7254974,1078.810346,1066.168742,1090.998237,1110.475663,1183.02593,1232.869615,1287.410739,1362.885102,1262.067151,1128.284091,993.4832532,911.7549816,942.6129447,913.3016313,836.6023818,936.6676543,887.6926123,948.9547702,1023.460734,1002.716922,1093.1081,1133.186372,1134.064445,1158.178083,1217.818021,1308.09197,1430.057614,1583.047451,1739.353377,1789.705553,1904.347152,2088.315547,2144.342363,2102.592449,2206.054397,2302.204411,2342.584904,2453.727115,2510.322943,2574.356751,2405.732848
Haití,70.66108456,68.76433933,70.13804588,71.96218417,77.86259725,82.94760837,84.9852522,83.41190396,81.59295367,85.29579643,70.82617925,76.26374897,76.90186371,94.90457191,112.996202,133.7502478,169.3107588,178.860637,180.273204,195.754238,245.2165669,256.2456189,249.4322126,268.2919292,293.1867733,317.0763459,357.7968297,309.30349,386.7772914,396.6861392,439.944188,483.8736354,308.3713974,251.7528877,285.1188538,363.2655445,368.6318638,415.7707421,455.5418961,499.3029687,811.5343577,739.348191,697.597063,561.8176913,663.7943295,766.6919755,792.8260107,981.1105146,1076.702447,1150.211089,1172.099015,1287.954058,1337.336475,1393.956085,1402.100289,1389.119779,1265.986932,1294.239628,1435.350852,1272.490699,1176.75582
Saint Kitts y Nevis,241.5391631,243.8321218,246.1011784,253.9774464,268.7180512,276.2489041,299.2508569,353.3033311,314.6619539,348.1297634,363.2069165,441.1145778,517.7320528,546.1362039,711.0431909,753.6322943,681.8215291,1012.568184,1131.119908,1354.154947,1584.668393,1882.756998,2013.016222,2045.202676,2336.6914,2650.986469,3150.634904,3600.013356,4250.057652,4770.741897,5396.40485,5461.497752,5950.628813,6411.014695,7092.105802,7450.274145,7862.696469,8741.659658,8866.566371,9320.881307,9565.949909,10283.0328,10650.84515,10270.60416,10942.72823,11679.40971,13614.41512,14429.55024,15592.87088,15388.44344,15510.19915,16539.76901,16046.48694,16685.94759,18051.17903,18028.97343,18810.55938,19158.7448,19276.52127,19773.46237,17435.92743
América Latina y el Caribe,371.4322754,382.671475,425.9023506,418.2487837,453.6649839,470.9368538,503.1727347,503.28988,528.4811765,577.1980917,613.0631277,668.5256094,733.165251,937.7625677,1190.512716,1218.087817,1322.557114,1421.022872,1577.45825,1839.178176,2166.93568,2444.429031,2231.233462,1924.897898,1903.01488,1920.025796,1895.291699,1961.530466,2169.173491,2323.408685,2669.251529,3224.380298,2994.325794,3383.399559,3801.379634,3986.603661,4243.831249,4578.767261,4549.050245,4042.987953,4400.795823,4244.81803,3757.260576,3787.273901,4309.235193,5145.814246,5957.981915,6935.858748,7966.56108,7402.54097,9075.903791,10204.24345,10198.38858,10339.94815,10433.17121,8888.231171,8600.757385,9461.211347,9158.440964,8951.811517,7417.252167
México,345.2305408,363.3932709,378.1534954,409.0455701,469.4761369,494.9702613,534.2736315,565.6334089,606.2111327,650.3117272,689.7949287,738.5584763,826.4773502,981.4589828,1242.090043,1476.313217,1453.670672,1301.324622,1589.27364,2034.988669,3027.375274,3803.030926,2597.982903,2147.719559,2478.210836,2569.239714,1733.912993,1862.886204,2247.981386,2687.914845,3112.268595,3661.947965,4170.623383,5650.026286,5854.418117,3928.223711,4412.116298,5289.167653,5481.181954,6157.193044,7157.8145,7544.568723,7593.137345,7075.369643,7484.486399,8277.671564,9068.294218,9642.680517,10016.57121,8002.972178,9271.398396,10203.4213,10241.72783,10725.18359,10928.91601,9616.645558,8744.515559,9287.849587,9686.514244,9946.033829,8346.702379
Nicaragua,126.248168,131.4506526,140.5573456,150.5036589,170.434841,273.906703,284.55869,299.0809355,307.2917569,320.4285036,322.7002946,333.114264,344.2533977,414.4358419,558.8632852,566.6221647,638.3048137,750.2502313,695.9796442,481.7590681,670.4437172,728.6269776,713.479925,772.835232,852.466606,718.6849973,754.8025687,985.0477809,658.4620614,248.149686,241.8764121,348.8646053,410.7673844,393.6035457,847.3736884,890.0054491,908.6338479,909.3364921,943.9228567,972.8867935,1007.499839,1034.551387,1000.936715,1005.733044,1080.269119,1162.289685,1226.633987,1327.957086,1499.266728,1444.36951,1503.872231,1655.818055,1760.467407,1811.636803,1934.062922,2049.851666,2107.57406,2159.161926,2014.570287,1926.699694,1905.256756
Panamá,474.0906704,513.2516793,542.3281858,583.4115618,608.1004849,648.4360821,686.0694008,742.1140689,775.6393081,827.1733263,889.2377077,974.9369999,1040.810314,1157.624086,1287.954959,1395.476185,1444.748181,1489.964055,1721.77463,1918.162773,2332.126385,2577.745173,2782.289796,2791.771146,2849.053877,2947.691556,2996.620763,2945.169327,2492.144328,2446.230921,2603.847676,2803.944925,3122.087316,3339.914374,3489.151106,3494.51729,3529.852222,3741.28733,3974.664305,4082.614583,4060.317793,4046.429148,4126.232386,4267.292687,4592.152614,4916.907612,5348.884253,6166.187862,7154.274496,7576.140467,8082.019584,9358.261574,10722.25235,11889.07056,12796.05753,13630.32287,14343.98139,15146.40237,15544.73352,15727.97449,12269.049
Perú,253.2649213,277.5687634,305.7616169,325.5163392,382.7439648,441.182112,507.5309532,500.8734862,450.4014675,490.4136037,552.1797687,599.1156553,646.1428162,752.2233843,922.8464967,1094.161608,1006.890862,899.2555182,748.9924969,932.7466182,1033.418632,1203.706341,1182.730928,919.1688561,910.9674658,836.9460873,753.5315298,1000.532272,729.8761993,1040.962255,1196.586858,1524.770536,1566.011279,1488.032995,1881.737355,2194.017247,2232.075816,2306.438527,2163.119357,1924.486419,1955.588006,1941.475342,2021.240038,2145.643889,2417.034363,2729.499172,3154.331349,3606.070689,4220.616378,4196.311627,5082.353706,5869.323882,6528.971775,6756.752996,6672.877373,6229.100674,6204.996457,6710.507602,6957.793411,7027.612207,6126.87454
